Dataset,Model,Split,RMSE,R2
CY-Bench Maize (Europe),Null Baseline,Random,2.401 +/- 0.073,-0.005 +/- 0.007
CY-Bench Maize (Europe),Null Baseline,Spatial,2.437 +/- 0.114,-0.009 +/- 0.011
CY-Bench Maize (Europe),Null Baseline,Temporal,2.497 +/- 0.502,-0.560 +/- 1.126
CY-Bench Maize (Europe),Null Baseline,Spatiotemporal,3.062 +/- 0.262,-0.900 +/- 0.305
CY-Bench Maize (Europe),Ridge,Random,1.680 +/- 0.031,0.507 +/- 0.031
CY-Bench Maize (Europe),Ridge,Spatial,1.860 +/- 0.271,0.390 +/- 0.225
CY-Bench Maize (Europe),Ridge,Temporal,1.751 +/- 0.356,0.108 +/- 0.892
CY-Bench Maize (Europe),Ridge,Spatiotemporal,3.018 +/- 0.417,-1.008 +/- 0.963
CY-Bench Maize (Europe),Random Forest,Random,1.274 +/- 0.046,0.716 +/- 0.027
CY-Bench Maize (Europe),Random Forest,Spatial,1.558 +/- 0.141,0.576 +/- 0.105
CY-Bench Maize (Europe),Random Forest,Temporal,1.522 +/- 0.423,0.293 +/- 0.864
CY-Bench Maize (Europe),Random Forest,Spatiotemporal,2.695 +/- 0.281,-0.550 +/- 0.557
CY-Bench Maize (Europe),XGBoost,Random,1.253 +/- 0.023,0.725 +/- 0.025
CY-Bench Maize (Europe),XGBoost,Spatial,1.742 +/- 0.232,0.463 +/- 0.183
CY-Bench Maize (Europe),XGBoost,Temporal,1.521 +/- 0.417,0.306 +/- 0.761
CY-Bench Maize (Europe),XGBoost,Spatiotemporal,2.789 +/- 0.306,-0.662 +/- 0.602
CY-Bench Wheat (Europe),Null Baseline,Random,1.242 +/- 0.037,-0.007 +/- 0.009
CY-Bench Wheat (Europe),Null Baseline,Spatial,1.203 +/- 0.137,-0.066 +/- 0.092
CY-Bench Wheat (Europe),Null Baseline,Temporal,1.176 +/- 0.164,-0.394 +/- 0.410
CY-Bench Wheat (Europe),Null Baseline,Spatiotemporal,1.357 +/- 0.072,-0.746 +/- 0.382
CY-Bench Wheat (Europe),Ridge,Random,0.886 +/- 0.044,0.486 +/- 0.045
CY-Bench Wheat (Europe),Ridge,Spatial,0.971 +/- 0.146,0.275 +/- 0.246
CY-Bench Wheat (Europe),Ridge,Temporal,0.904 +/- 0.207,0.116 +/- 0.568
CY-Bench Wheat (Europe),Ridge,Spatiotemporal,1.271 +/- 0.101,-0.552 +/- 0.411
