crop_name,country_code,adm_id,harvest_year,yield,harvest_area,production
maize,HR,HR03,2005,4.4,1950.0,8659.0
maize,HR,HR03,2006,4.5,1669.0,7451.0
maize,HR,HR03,2007,3.5,1823.0,6427.0
maize,HR,HR03,2008,3.7,1956.0,7181.0
maize,HR,HR03,2009,4.0,1642.0,6544.0
maize,HR,HR03,2010,4.9,2411.0,11919.0
maize,HR,HR03,2011,5.1,1375.0,6976.0
maize,HR,HR03,2012,4.1,1627.0,6620.0
maize,HR,HR03,2013,4.5,1860.0,8412.0
maize,HR,HR03,2014,10.2,1514.0,15449.0
maize,HR,HR03,2015,4.2,1952.0,8199.0
maize,HR,HR03,2016,5.7,1829.0,10413.0
maize,HR,HR03,2017,4.1,1118.0,4614.0
maize,HR,HR03,2018,6.4,1526.0,9798.0
maize,HR,HR03,2019,5.3,1622.0,8639.0
maize,HR,HR03,2020,6.1,2309.0,14140.0
maize,HR,HR04,2005,6.9,317023.0,2198070.0
maize,HR,HR04,2006,6.5,294526.0,1927066.0
maize,HR,HR04,2007,4.9,286726.0,1418172.0
maize,HR,HR04,2008,8.0,312106.0,2497759.0
maize,HR,HR04,2009,7.4,295268.0,2175977.0
maize,HR,HR04,2010,7.0,294357.0,2055896.0
maize,HR,HR04,2011,5.7,303755.0,1726688.0
maize,HR,HR04,2012,4.3,297534.0,1290970.0
maize,HR,HR04,2013,6.5,286505.0,1865960.0
maize,HR,HR04,2014,8.1,251053.0,2031517.0
maize,HR,HR04,2015,6.5,262018.0,1700953.0
maize,HR,HR04,2016,8.6,250243.0,2144057.0
maize,HR,HR04,2017,6.3,246001.0,1555024.0
maize,HR,HR04,2018,9.1,233826.0,2137477.0
maize,HR,HR04,2019,9.0,254265.0,2289677.0
maize,HR,HR04,2020,8.447,286089.0,2416458.0
