feature,rand_mean,rand_sd,spat_mean,spat_sd
fpar_mean,0.3433169,0.013940158,0.34309137,0.00437431
bulk_density,0.17519291,0.0028946484,0.19398756,0.009418611
awc,0.08573773,0.0036136191,0.085176975,0.003980191
fpar_max,0.07059223,0.0037963036,0.06526961,0.0002463528
rad_mean,0.064593025,0.0063445135,0.056866556,0.0015342607
et0_mean,0.049485996,0.0060669463,0.030169709,0.001002224
drainage_class,0.04032774,0.011630409,0.061787445,0.004358299
ndvi_mean,0.030062677,0.006621719,0.030068064,0.0012020385
vpd_mean,0.029240197,0.0015580844,0.030703211,0.0017417376
tmax_mean,0.026135206,0.002288523,0.022274405,0.0014068495
tavg_mean,0.023316843,0.00504822,0.021270743,0.0012747099
tmin_mean,0.0196845,0.0016317233,0.018770857,0.0021756263
cwb_mean,0.017515676,0.0056765247,0.016441137,0.0015006064
ndvi_max,0.014987525,0.0017637698,0.015819306,0.0013983997
prec_sum,0.0098108025,0.00040952186,0.008303055,0.00048482578
