feature,rand_mean,rand_sd,spat_mean,spat_sd
fpar_mean,0.24744976,0.039447572,0.24451588,0.009884456
drainage_class,0.22449361,0.057119634,0.23384637,0.029440982
bulk_density,0.12484185,0.002761533,0.15823813,0.0037061186
awc,0.062112708,0.006612356,0.05718099,0.0012069375
ndvi_mean,0.054028165,0.0032687315,0.041044213,0.003383081
fpar_max,0.05157828,0.00084230455,0.047901433,0.003302173
rad_mean,0.039905537,0.0056346045,0.03186201,0.0050438326
vpd_mean,0.031574033,0.006114747,0.02756288,0.0017814746
tavg_mean,0.03139167,0.0089875255,0.028083757,0.0035842946
cwb_mean,0.030468322,0.0041820058,0.02324303,0.0025747872
tmin_mean,0.028126897,0.0018380594,0.027271723,0.00065425516
ndvi_max,0.02179324,0.0037639115,0.022722416,0.0031500298
et0_mean,0.021153465,0.004152483,0.02243057,0.0007889055
tmax_mean,0.019448085,0.000939664,0.022965474,0.0014116938
prec_sum,0.011634392,0.001306939,0.011131101,0.0007426966
