feature,rand_mean,rand_sd,spat_mean,spat_sd
tavg_mean,0.2962279,0.0323093,0.21465695,0.02850791
tmax_mean,0.10113394,0.02789676,0.11679136,0.021978647
bulk_density,0.079341024,0.0056118234,0.100818336,0.006920053
cwb_mean,0.07555882,0.009545307,0.06394497,0.0015142875
vpd_mean,0.06233276,0.0011715015,0.10784936,0.015755031
ndvi_mean,0.059308004,0.015572071,0.049405366,0.0029596474
fpar_max,0.055972893,0.0056042755,0.0560489,0.002810786
awc,0.04657973,0.0025785593,0.04710585,0.0013039925
tmin_mean,0.042471122,0.0092049,0.045485068,0.0058148834
et0_mean,0.042368818,0.006650243,0.038738057,0.002699622
fpar_mean,0.03896844,0.00577879,0.03823857,0.0026483864
rad_mean,0.036719374,0.004179478,0.038623173,0.0006815825
ndvi_max,0.035015475,0.0024679492,0.04498127,0.002295602
prec_sum,0.025841704,0.0034688185,0.022999704,0.0010305607
drainage_class,0.0021600313,0.000579315,0.01431308,0.0013889455
