Dataset,Seed,Fold,HeldOutRegions,HeldOutRegionCount,TestSamples
CY-Bench Maize (Europe),42,1,"['AT11', 'AT22', 'HU120', 'HU213', 'HU231', 'HU232', 'HU311', 'HU323', 'RO111', 'RO114', 'RO116', 'RO212', 'RO222', 'RO224', 'RO225', 'RO226']",16,307
CY-Bench Maize (Europe),42,2,"['AT12', 'AT13', 'AT31', 'AT33', 'HU110', 'HU223', 'HU233', 'HU312', 'RO121', 'RO123', 'RO223', 'RO313', 'RO411', 'RO412', 'RO422', 'RO424']",16,317
CY-Bench Maize (Europe),42,3,"['BG31', 'HR03', 'HR04', 'HU212', 'HU222', 'HU321', 'HU322', 'RO113', 'RO122', 'RO126', 'RO213', 'RO214', 'RO312', 'RO413', 'RO415', 'RO421']",16,311
CY-Bench Maize (Europe),42,4,"['AT21', 'AT32', 'BG32', 'BG33', 'HU313', 'HU331', 'RO112', 'RO124', 'RO211', 'RO216', 'RO221', 'RO311', 'RO317', 'RO321', 'RO322', 'RO414']",16,308
CY-Bench Maize (Europe),42,5,"['AT34', 'BG34', 'BG41', 'BG42', 'HU211', 'HU221', 'HU332', 'HU333', 'RO115', 'RO125', 'RO215', 'RO314', 'RO315', 'RO316', 'RO423']",15,300
CY-Bench Maize (Europe),43,1,"['AT12', 'AT21', 'AT31', 'HU231', 'HU323', 'HU332', 'HU333', 'RO113', 'RO126', 'RO212', 'RO223', 'RO312', 'RO315', 'RO316', 'RO411', 'RO424']",16,320
CY-Bench Maize (Europe),43,2,"['AT32', 'BG34', 'BG41', 'BG42', 'HU213', 'HU223', 'HU232', 'RO115', 'RO121', 'RO122', 'RO215', 'RO222', 'RO311', 'RO413', 'RO415', 'RO421']",16,316
CY-Bench Maize (Europe),43,3,"['AT13', 'HR04', 'HU110', 'HU120', 'HU212', 'HU221', 'HU331', 'RO111', 'RO112', 'RO116', 'RO123', 'RO211', 'RO213', 'RO221', 'RO414', 'RO423']",16,313
CY-Bench Maize (Europe),43,4,"['AT33', 'AT34', 'BG31', 'BG32', 'HU211', 'HU222', 'HU311', 'HU312', 'HU313', 'HU321', 'RO224', 'RO226', 'RO314', 'RO322', 'RO412', 'RO422']",16,304
CY-Bench Maize (Europe),43,5,"['AT11', 'AT22', 'BG33', 'HR03', 'HU233', 'HU322', 'RO114', 'RO124', 'RO125', 'RO214', 'RO216', 'RO225', 'RO313', 'RO317', 'RO321']",15,290
CY-Bench Maize (Europe),44,1,"['AT11', 'HU120', 'HU213', 'HU233', 'HU321', 'HU323', 'HU332', 'RO114', 'RO115', 'RO214', 'RO215', 'RO216', 'RO311', 'RO314', 'RO315', 'RO411']",16,317
CY-Bench Maize (Europe),44,2,"['AT12', 'AT13', 'AT34', 'HR04', 'HU312', 'RO112', 'RO125', 'RO213', 'RO221', 'RO224', 'RO412', 'RO413', 'RO414', 'RO415', 'RO421', 'RO422']",16,310
CY-Bench Maize (Europe),44,3,"['AT21', 'AT31', 'BG32', 'BG42', 'HR03', 'HU322', 'RO116', 'RO121', 'RO122', 'RO212', 'RO223', 'RO312', 'RO313', 'RO316', 'RO321', 'RO424']",16,310
CY-Bench Maize (Europe),44,4,"['AT22', 'BG31', 'BG34', 'BG41', 'HU212', 'HU221', 'HU231', 'HU232', 'HU311', 'RO123', 'RO124', 'RO126', 'RO222', 'RO226', 'RO322', 'RO423']",16,309
CY-Bench Maize (Europe),44,5,"['AT32', 'AT33', 'BG33', 'HU110', 'HU211', 'HU222', 'HU223', 'HU313', 'HU331', 'HU333', 'RO111', 'RO113', 'RO211', 'RO225', 'RO317']",15,297
CY-Bench Wheat (Europe),42,1,"['AT11', 'AT22', 'HU120', 'HU213', 'HU223', 'HU231', 'HU232', 'HU312', 'HU323', 'RO114', 'RO121', 'RO213', 'RO224', 'RO225', 'RO314', 'RO413']",16,228
CY-Bench Wheat (Europe),42,2,"['AT12', 'AT13', 'AT31', 'AT33', 'HU110', 'HU233', 'HU311', 'RO113', 'RO122', 'RO214', 'RO311', 'RO312', 'RO315', 'RO411', 'RO424']",15,217
CY-Bench Wheat (Europe),42,3,"['BG31', 'HR03', 'HR04', 'HU212', 'HU222', 'HU321', 'HU322', 'RO111', 'RO123', 'RO124', 'RO211', 'RO223', 'RO414', 'RO421', 'RO422']",15,187
CY-Bench Wheat (Europe),42,4,"['AT21', 'AT32', 'BG32', 'BG33', 'HU313', 'HU331', 'RO112', 'RO212', 'RO215', 'RO222', 'RO226', 'RO313', 'RO322', 'RO415', 'RO423']",15,132
CY-Bench Wheat (Europe),42,5,"['AT34', 'BG34', 'BG41', 'BG42', 'HU211', 'HU221', 'HU332', 'HU333', 'RO115', 'RO125', 'RO126', 'RO221', 'RO316', 'RO317', 'RO321']",15,187
CY-Bench Wheat (Europe),43,1,"['AT12', 'AT21', 'HU213', 'HU232', 'HU323', 'RO111', 'RO115', 'RO121', 'RO123', 'RO212', 'RO213', 'RO226', 'RO314', 'RO317', 'RO413', 'RO424']",16,214
CY-Bench Wheat (Europe),43,2,"['AT31', 'AT32', 'BG34', 'BG41', 'BG42', 'HU110', 'HU221', 'HU223', 'HU231', 'HU332', 'HU333', 'RO124', 'RO223', 'RO313', 'RO421']",15,188
CY-Bench Wheat (Europe),43,3,"['AT13', 'AT34', 'HR04', 'HU120', 'HU212', 'HU311', 'HU312', 'RO112', 'RO113', 'RO122', 'RO211', 'RO224', 'RO316', 'RO321', 'RO423']",15,167
CY-Bench Wheat (Europe),43,4,"['AT22', 'AT33', 'BG31', 'BG32', 'HU211', 'HU222', 'HU313', 'HU321', 'HU331', 'RO214', 'RO221', 'RO225', 'RO312', 'RO414', 'RO415']",15,202
CY-Bench Wheat (Europe),43,5,"['AT11', 'BG33', 'HR03', 'HU233', 'HU322', 'RO114', 'RO125', 'RO126', 'RO215', 'RO222', 'RO311', 'RO315', 'RO322', 'RO411', 'RO422']",15,180
CY-Bench Wheat (Europe),44,1,"['AT11', 'AT13', 'HU120', 'HU233', 'HU321', 'HU323', 'RO112', 'RO122', 'RO213', 'RO214', 'RO226', 'RO312', 'RO315', 'RO316', 'RO322', 'RO411']",16,215
CY-Bench Wheat (Europe),44,2,"['AT12', 'AT34', 'HR04', 'HU213', 'HU312', 'HU332', 'RO114', 'RO215', 'RO222', 'RO223', 'RO224', 'RO413', 'RO415', 'RO421', 'RO422']",15,185
CY-Bench Wheat (Europe),44,3,"['AT21', 'AT31', 'BG32', 'BG42', 'HR03', 'HU221', 'HU322', 'RO115', 'RO121', 'RO123', 'RO126', 'RO313', 'RO317', 'RO414', 'RO424']",15,194
CY-Bench Wheat (Europe),44,4,"['AT22', 'BG31', 'BG34', 'BG41', 'HU212', 'HU231', 'HU232', 'HU311', 'RO124', 'RO125', 'RO211', 'RO221', 'RO225', 'RO321', 'RO423']",15,167
CY-Bench Wheat (Europe),44,5,"['AT32', 'AT33', 'BG33', 'HU110', 'HU211', 'HU222', 'HU223', 'HU313', 'HU331', 'HU333', 'RO111', 'RO113', 'RO212', 'RO311', 'RO314']",15,190
CY-Bench Maize (Zambia),42,1,"['ZM-A2-0111', 'ZM-A2-0304', 'ZM-A2-0305', 'ZM-A2-0406', 'ZM-A2-0414', 'ZM-A2-0415', 'ZM-A2-0512', 'ZM-A2-0605', 'ZM-A2-0701', 'ZM-A2-0714', 'ZM-A2-0806', 'ZM-A2-0906', 'ZM-A2-0910', 'ZM-A2-0912', 'ZM-A2-0916']",15,255
CY-Bench Maize (Zambia),42,2,"['ZM-A2-0105', 'ZM-A2-0106', 'ZM-A2-0113', 'ZM-A2-0202', 'ZM-A2-0312', 'ZM-A2-0404', 'ZM-A2-0407', 'ZM-A2-0410', 'ZM-A2-0702', 'ZM-A2-0810', 'ZM-A2-0905', 'ZM-A2-0917', 'ZM-A2-1018', 'ZM-A2-1020']",14,238
CY-Bench Maize (Zambia),42,3,"['ZM-A2-0204', 'ZM-A2-0210', 'ZM-A2-0302', 'ZM-A2-0307', 'ZM-A2-0401', 'ZM-A2-0506', 'ZM-A2-0511', 'ZM-A2-0704', 'ZM-A2-0707', 'ZM-A2-0811', 'ZM-A2-0814', 'ZM-A2-0908', 'ZM-A2-1001', 'ZM-A2-1019']",14,238
CY-Bench Maize (Zambia),42,4,"['ZM-A2-0110', 'ZM-A2-0201', 'ZM-A2-0205', 'ZM-A2-0206', 'ZM-A2-0313', 'ZM-A2-0505', 'ZM-A2-0601', 'ZM-A2-0606', 'ZM-A2-0703', 'ZM-A2-0802', 'ZM-A2-0903', 'ZM-A2-0909', 'ZM-A2-0911', 'ZM-A2-1014']",14,238
CY-Bench Maize (Zambia),42,5,"['ZM-A2-0101', 'ZM-A2-0203', 'ZM-A2-0207', 'ZM-A2-0208', 'ZM-A2-0209', 'ZM-A2-0306', 'ZM-A2-0603', 'ZM-A2-0604', 'ZM-A2-0801', 'ZM-A2-0804', 'ZM-A2-0808', 'ZM-A2-0902', 'ZM-A2-1007', 'ZM-A2-1012']",14,238
CY-Bench Maize (Zambia),43,1,"['ZM-A2-0105', 'ZM-A2-0110', 'ZM-A2-0201', 'ZM-A2-0207', 'ZM-A2-0209', 'ZM-A2-0304', 'ZM-A2-0312', 'ZM-A2-0404', 'ZM-A2-0406', 'ZM-A2-0603', 'ZM-A2-0605', 'ZM-A2-0714', 'ZM-A2-0806', 'ZM-A2-0906', 'ZM-A2-1019']",15,255
CY-Bench Maize (Zambia),43,2,"['ZM-A2-0106', 'ZM-A2-0113', 'ZM-A2-0208', 'ZM-A2-0407', 'ZM-A2-0512', 'ZM-A2-0604', 'ZM-A2-0701', 'ZM-A2-0703', 'ZM-A2-0704', 'ZM-A2-0808', 'ZM-A2-0905', 'ZM-A2-0908', 'ZM-A2-1001', 'ZM-A2-1007']",14,238
CY-Bench Maize (Zambia),43,3,"['ZM-A2-0203', 'ZM-A2-0302', 'ZM-A2-0305', 'ZM-A2-0313', 'ZM-A2-0401', 'ZM-A2-0414', 'ZM-A2-0415', 'ZM-A2-0606', 'ZM-A2-0707', 'ZM-A2-0801', 'ZM-A2-0810', 'ZM-A2-0902', 'ZM-A2-0909', 'ZM-A2-0916']",14,238
CY-Bench Maize (Zambia),43,4,"['ZM-A2-0111', 'ZM-A2-0202', 'ZM-A2-0205', 'ZM-A2-0206', 'ZM-A2-0306', 'ZM-A2-0505', 'ZM-A2-0506', 'ZM-A2-0601', 'ZM-A2-0702', 'ZM-A2-0811', 'ZM-A2-0911', 'ZM-A2-0912', 'ZM-A2-0917', 'ZM-A2-1018']",14,238
CY-Bench Maize (Zambia),43,5,"['ZM-A2-0101', 'ZM-A2-0204', 'ZM-A2-0210', 'ZM-A2-0307', 'ZM-A2-0410', 'ZM-A2-0511', 'ZM-A2-0802', 'ZM-A2-0804', 'ZM-A2-0814', 'ZM-A2-0903', 'ZM-A2-0910', 'ZM-A2-1012', 'ZM-A2-1014', 'ZM-A2-1020']",14,238
