DATASET | WINDOW | MODEL | R2_ORIGINAL | R2_INTERPOLATED | N_TRAIN_ORIG | N_TRAIN_INTERP | N_TEST_ORIG | N_TEST_INTERP
CY-Bench Maize (Europe) | 2006-2008 | Random Forest | 0.500 | 0.514 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2006-2008 | Ridge | 0.495 | 0.499 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2006-2008 | XGBoost | 0.458 | 0.449 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2007-2009 | Random Forest | 0.549 | 0.545 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2007-2009 | Ridge | 0.521 | 0.526 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2007-2009 | XGBoost | 0.457 | 0.515 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2008-2010 | Random Forest | 0.543 | 0.537 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2008-2010 | Ridge | 0.452 | 0.454 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2008-2010 | XGBoost | 0.410 | 0.438 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2009-2011 | Random Forest | 0.465 | 0.457 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2009-2011 | Ridge | 0.415 | 0.403 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2009-2011 | XGBoost | 0.358 | 0.394 | 1060.3 | 1060.3 | 45.0 | 45.0
CY-Bench Maize (Europe) | 2010-2012 | Random Forest | 0.543 | 0.523 | 1061.0 | 1061.0 | 44.7 | 44.7
CY-Bench Maize (Europe) | 2010-2012 | Ridge | 0.523 | 0.515 | 1061.0 | 1061.0 | 44.7 | 44.7
CY-Bench Maize (Europe) | 2010-2012 | XGBoost | 0.487 | 0.431 | 1061.0 | 1061.0 | 44.7 | 44.7
CY-Bench Maize (Europe) | 2011-2013 | Random Forest | 0.531 | 0.538 | 1062.3 | 1062.3 | 44.0 | 44.0
CY-Bench Maize (Europe) | 2011-2013 | Ridge | 0.540 | 0.529 | 1062.3 | 1062.3 | 44.0 | 44.0
CY-Bench Maize (Europe) | 2011-2013 | XGBoost | 0.463 | 0.385 | 1062.3 | 1062.3 | 44.0 | 44.0
CY-Bench Maize (Europe) | 2012-2014 | Random Forest | 0.534 | 0.530 | 1062.3 | 1062.3 | 44.0 | 44.0
CY-Bench Maize (Europe) | 2012-2014 | Ridge | 0.520 | 0.524 | 1062.3 | 1062.3 | 44.0 | 44.0
CY-Bench Maize (Europe) | 2012-2014 | XGBoost | 0.499 | 0.464 | 1062.3 | 1062.3 | 44.0 | 44.0
CY-Bench Maize (Europe) | 2013-2015 | Random Forest | 0.374 | 0.421 | 1063.0 | 1063.0 | 43.7 | 43.7
CY-Bench Maize (Europe) | 2013-2015 | Ridge | 0.143 | 0.186 | 1063.0 | 1063.0 | 43.7 | 43.7
CY-Bench Maize (Europe) | 2013-2015 | XGBoost | 0.296 | 0.331 | 1063.0 | 1063.0 | 43.7 | 43.7
CY-Bench Maize (Europe) | 2014-2016 | Random Forest | 0.320 | 0.401 | 1063.0 | 1063.0 | 43.7 | 43.7
CY-Bench Maize (Europe) | 2014-2016 | Ridge | 0.367 | 0.393 | 1063.0 | 1063.0 | 43.7 | 43.7
CY-Bench Maize (Europe) | 2014-2016 | XGBoost | 0.198 | 0.196 | 1063.0 | 1063.0 | 43.7 | 43.7
