dataset,window_length,window_label,model,r2_mean,has_anomaly
CY-Bench Maize (Europe),3,2006-2008,Random Forest,0.5196673347848652,False
CY-Bench Maize (Europe),3,2006-2008,Ridge,0.4945993387067758,False
CY-Bench Maize (Europe),3,2006-2008,XGBoost,0.4581653160303542,False
CY-Bench Maize (Europe),3,2007-2009,Random Forest,0.5420965898010297,False
CY-Bench Maize (Europe),3,2007-2009,Ridge,0.5212599515450909,False
CY-Bench Maize (Europe),3,2007-2009,XGBoost,0.4568344149875276,False
CY-Bench Maize (Europe),3,2008-2010,Random Forest,0.5539538235586451,False
CY-Bench Maize (Europe),3,2008-2010,Ridge,0.4518644492306755,False
CY-Bench Maize (Europe),3,2008-2010,XGBoost,0.4103055342397725,False
CY-Bench Maize (Europe),3,2009-2011,Random Forest,0.4621070470496525,False
CY-Bench Maize (Europe),3,2009-2011,Ridge,0.4154839866560073,False
CY-Bench Maize (Europe),3,2009-2011,XGBoost,0.3582488640510649,False
CY-Bench Maize (Europe),3,2010-2012,Random Forest,0.525599236874744,False
CY-Bench Maize (Europe),3,2010-2012,Ridge,0.5233145776994156,False
CY-Bench Maize (Europe),3,2010-2012,XGBoost,0.4865988081568293,False
CY-Bench Maize (Europe),3,2011-2013,Random Forest,0.5456127760460633,False
CY-Bench Maize (Europe),3,2011-2013,Ridge,0.5401732624586316,False
CY-Bench Maize (Europe),3,2011-2013,XGBoost,0.4631613309665141,False
CY-Bench Maize (Europe),3,2012-2014,Random Forest,0.5401039929334541,False
CY-Bench Maize (Europe),3,2012-2014,Ridge,0.5196375907078582,False
CY-Bench Maize (Europe),3,2012-2014,XGBoost,0.4986854664103968,False
CY-Bench Maize (Europe),3,2013-2015,Random Forest,0.3794832665574812,False
CY-Bench Maize (Europe),3,2013-2015,Ridge,0.1427806703364505,False
CY-Bench Maize (Europe),3,2013-2015,XGBoost,0.2960626118165491,False
CY-Bench Maize (Europe),3,2014-2016,Random Forest,0.3268540257397163,False
CY-Bench Maize (Europe),3,2014-2016,Ridge,0.3671246181660381,False
CY-Bench Maize (Europe),3,2014-2016,XGBoost,0.1984847935471037,False
CY-Bench Maize (Europe),3,2015-2017,Random Forest,0.3432385887442304,False
CY-Bench Maize (Europe),3,2015-2017,Ridge,0.3049437368818483,False
CY-Bench Maize (Europe),3,2015-2017,XGBoost,0.2689375660610492,False
CY-Bench Maize (Europe),3,2016-2018,Random Forest,0.1419727489494702,True
