dataset,window_length,window_label,has_anomaly,Random Forest,Ridge,XGBoost
CY-Bench Maize (Europe),2,2006-2007,False,0.4537294122572424,0.4445464232602114,0.3791665925064563
CY-Bench Maize (Europe),2,2007-2008,False,0.5347734761972467,0.5049151253489687,0.534215547830401
CY-Bench Maize (Europe),2,2008-2009,False,0.6009792662812881,0.571057433563057,0.5312140617542097
CY-Bench Maize (Europe),2,2009-2010,False,0.4668165897777434,0.34448320275790034,0.44952860595609795
CY-Bench Maize (Europe),2,2010-2011,False,0.37632514124910893,0.29897325961070664,0.33320980286150403
CY-Bench Maize (Europe),2,2011-2012,False,0.5998080770859244,0.652512627746507,0.5260783327629036
CY-Bench Maize (Europe),2,2012-2013,False,0.47609884813082487,0.5055793504793002,0.49971993372859774
CY-Bench Maize (Europe),2,2013-2014,False,0.3402700745843789,0.2551130214470991,0.16455420444345217
CY-Bench Maize (Europe),2,2014-2015,False,0.4579494932931838,0.28521950172397775,0.3265734970209512
CY-Bench Maize (Europe),2,2015-2016,False,0.3574165098255772,0.3560106173950697,0.2535910209647605
CY-Bench Maize (Europe),2,2016-2017,False,0.2379731278294507,0.299713679460461,0.10296204500392758
CY-Bench Maize (Europe),2,2017-2018,True,-0.215214110397926,-0.588362521599566,-0.24347407594327639
CY-Bench Maize (Europe),2,2018-2019,True,-0.9766758660334921,-0.9701169206692853,-1.3002289269340714
CY-Bench Maize (Europe),2,2019-2020,False,0.27241418450805593,0.35023134893675634,0.23458836769719593
CY-Bench Maize (Europe),3,2006-2008,False,0.5196673347848652,0.4945993387067758,0.4581653160303542
CY-Bench Maize (Europe),3,2007-2009,False,0.5420965898010297,0.5212599515450909,0.4568344149875276
CY-Bench Maize (Europe),3,2008-2010,False,0.5539538235586451,0.4518644492306755,0.4103055342397725
CY-Bench Maize (Europe),3,2009-2011,False,0.4621070470496525,0.4154839866560073,0.3582488640510649
CY-Bench Maize (Europe),3,2010-2012,False,0.525599236874744,0.5233145776994156,0.4865988081568293
CY-Bench Maize (Europe),3,2011-2013,False,0.5456127760460633,0.5401732624586316,0.4631613309665141
CY-Bench Maize (Europe),3,2012-2014,False,0.5401039929334541,0.5196375907078582,0.4986854664103968
CY-Bench Maize (Europe),3,2013-2015,False,0.3794832665574812,0.1427806703364505,0.2960626118165491
CY-Bench Maize (Europe),3,2014-2016,False,0.3268540257397163,0.3671246181660381,0.1984847935471037
CY-Bench Maize (Europe),3,2015-2017,False,0.3432385887442304,0.3049437368818483,0.2689375660610492
CY-Bench Maize (Europe),3,2016-2018,True,0.1419727489494702,0.0130103151980568,-0.0295329249938562
CY-Bench Maize (Europe),3,2017-2019,True,-0.5150849689528595,-0.8159668386727823,-0.6932846769188482
CY-Bench Maize (Europe),3,2018-2020,True,-0.096258277460128,-0.1231718858587592,-0.2870811889480745
CY-Bench Maize (Europe),5,2006-2010,False,0.5150533053831892,0.4708460985423492,0.4155809840765716
CY-Bench Maize (Europe),5,2007-2011,False,0.5019709420957998,0.49759318768358085,0.4725578804142909
CY-Bench Maize (Europe),5,2008-2012,False,0.5552947890920498,0.5496228077148401,0.47881601499065624
CY-Bench Maize (Europe),5,2009-2013,False,0.495419185698984,0.46834452927220543,0.4563475813934246
CY-Bench Maize (Europe),5,2010-2014,False,0.46532769951710745,0.42745942954480204,0.37159724966807284
CY-Bench Maize (Europe),5,2011-2015,False,0.5193493212695081,0.42623592112424963,0.43270035592322276
CY-Bench Maize (Europe),5,2012-2016,False,0.4356037829920685,0.42070174731904597,0.32173133128544046
CY-Bench Maize (Europe),5,2013-2017,False,0.3126104829569483,0.24216000724146733,0.16295366263797084
CY-Bench Maize (Europe),5,2014-2018,True,0.3265610184227856,0.2559450325665614,0.27813125848945547
CY-Bench Maize (Europe),5,2015-2019,True,0.16359112016244737,0.049609076559233155,0.11133343490747753
CY-Bench Maize (Europe),5,2016-2020,True,-0.042451925327350905,-0.21876751136940634,-0.16623035844935774
CY-Bench Maize (Zambia),2,2006-2007,False,0.16079284773565639,0.2493515221116236,0.048579063996818585
CY-Bench Maize (Zambia),2,2007-2008,False,-0.37386508738588947,-0.2620771041992147,-0.872516059771348
CY-Bench Maize (Zambia),2,2008-2009,False,-0.5866177405622306,-0.3151333280387139,-0.9104979427391108
CY-Bench Maize (Zambia),2,2009-2010,False,0.16241628779498932,0.27630270292395837,-0.10184603464127921
CY-Bench Maize (Zambia),2,2010-2011,False,0.18135761883934123,0.1542652809544497,-0.03197116735281691
CY-Bench Maize (Zambia),2,2011-2012,True,0.04259462973033027,0.06763739261539654,-0.08840642757683163
CY-Bench Maize (Zambia),2,2012-2013,True,0.147295965725049,0.2587782289199545,0.1115200165087576
CY-Bench Maize (Zambia),2,2013-2014,True,0.010528430208815923,0.07473187791971558,-0.0969961610161963
CY-Bench Maize (Zambia),2,2014-2015,True,0.23070969511769626,0.25306130896450174,0.144955343735965
CY-Bench Maize (Zambia),2,2015-2016,False,0.4808810051081614,0.47149817490352836,0.4013942060987212
CY-Bench Maize (Zambia),2,2016-2017,False,0.19010880877421724,0.3817807998951192,0.09905207801322709
CY-Bench Maize (Zambia),3,2006-2008,False,-0.0648114862613089,-0.0045156133146209,-0.2617555910990997
CY-Bench Maize (Zambia),3,2007-2009,False,-0.2901069947364847,-0.2239352033273667,-0.6337991859591852
CY-Bench Maize (Zambia),3,2008-2010,False,0.0041649804489002,0.1309172819267641,-0.2459582928596838
CY-Bench Maize (Zambia),3,2009-2011,False,0.2460825021437202,0.265289978809488,0.134601951353797
CY-Bench Maize (Zambia),3,2010-2012,True,0.0629051735198608,0.0507548619402516,-0.0732020795186419
CY-Bench Maize (Zambia),3,2011-2013,True,0.1376717579920728,0.1409697429595291,0.0544034224761741
CY-Bench Maize (Zambia),3,2012-2014,True,-0.091683286039464,0.0311189472163561,-0.1611397419122383
CY-Bench Maize (Zambia),3,2013-2015,True,0.2213648175651311,0.2619585479453486,0.1111793152875125
CY-Bench Maize (Zambia),3,2014-2016,True,0.2619383037048295,0.1997664248898853,0.2550907417466208
CY-Bench Maize (Zambia),3,2015-2017,False,0.3574206047419936,0.4237288498072143,0.2817871443693159
CY-Bench Maize (Zambia),5,2006-2010,False,0.07729606908904607,0.09286680899871647,-0.15760340305875728
CY-Bench Maize (Zambia),5,2007-2011,False,0.11155701023964515,0.16829525856579466,-0.11825820095701693
CY-Bench Maize (Zambia),5,2008-2012,True,0.17108246079418776,0.19966580949008836,0.05826758811776093
CY-Bench Maize (Zambia),5,2009-2013,True,0.12988553450664522,0.1702093503643336,-0.050337879317172894
CY-Bench Maize (Zambia),5,2010-2014,True,-0.08270998979660804,-0.0465016944295397,-0.16994778710297673
CY-Bench Maize (Zambia),5,2011-2015,True,0.09853109022325057,0.0392795013996606,-0.007728336775883915
CY-Bench Maize (Zambia),5,2012-2016,True,0.02109455287136334,0.021795522583080373,0.0727954924037127
CY-Bench Maize (Zambia),5,2013-2017,True,0.10542740714069627,0.08856679896780666,-0.07598656656523368
CY-Bench Wheat (Europe),2,2006-2007,False,0.21572479841028558,0.3894897313157962,0.12277314423537648
CY-Bench Wheat (Europe),2,2007-2008,False,-0.17887495912832796,0.29941008193754054,-0.40495249539413175
CY-Bench Wheat (Europe),2,2008-2009,False,0.2413562160043123,0.3517737556275655,0.08349326431709152
CY-Bench Wheat (Europe),2,2009-2010,False,-0.010384842847045217,-0.0574748300973739,0.17280698205677916
