window_label,window_start,model,r2_mean,r2_std,rmse_mean,n_test
2006-2008,2006,Random Forest,0.5196673347848652,0.06442809501745782,1.9308470254959618,45.0
2006-2008,2006,Ridge,0.4945993387067758,0.06451701151960765,1.982060211984799,45.0
2006-2008,2006,XGBoost,0.4581653160303542,0.09152063480337831,2.0482646960747526,45.0
2007-2009,2007,Random Forest,0.5420965898010297,0.08207159386864382,1.942912892416283,45.0
2007-2009,2007,Ridge,0.5212599515450909,0.044462386078863055,1.9926311017369651,45.0
2007-2009,2007,XGBoost,0.45683441498752764,0.1040607242451733,2.1160067618601732,45.0
2008-2010,2008,Random Forest,0.5539538235586451,0.12753833270810483,1.6374536139334792,45.0
2008-2010,2008,Ridge,0.45186444923067554,0.060263543101707985,1.832623480769288,45.0
2008-2010,2008,XGBoost,0.41030553423977256,0.08031364401254788,1.8981939532031529,45.0
2009-2011,2009,Random Forest,0.4621070470496525,0.22868276242843036,1.6600147214025889,45.0
2009-2011,2009,Ridge,0.41548398665600733,0.062146333502127366,1.7645442545448053,45.0
2009-2011,2009,XGBoost,0.3582488640510649,0.10156733024013524,1.8469169091791036,45.0
2010-2012,2010,Random Forest,0.525599236874744,0.08778694539287304,1.7977035921304167,44.666666666666664
2010-2012,2010,Ridge,0.5233145776994156,0.04372493048421544,1.8030973329842928,44.666666666666664
2010-2012,2010,XGBoost,0.4865988081568293,0.032603794199017495,1.8715502693348502,44.666666666666664
2011-2013,2011,Random Forest,0.5456127760460633,0.03691251418176469,1.6669419913818768,44.0
2011-2013,2011,Ridge,0.5401732624586316,0.03856720300152527,1.6767340917884572,44.0
2011-2013,2011,XGBoost,0.46316133096651413,0.005634688783695964,1.8120707319245752,44.0
2012-2014,2012,Random Forest,0.5401039929334541,0.028418732346407887,1.7137679567259774,44.0
2012-2014,2012,Ridge,0.5196375907078582,0.05267286817468445,1.752053907776169,44.0
2012-2014,2012,XGBoost,0.49868546641039685,0.09478042504114288,1.7817054250566418,44.0
2013-2015,2013,Random Forest,0.3794832665574812,0.01844923278055831,1.685218738362008,43.666666666666664
2013-2015,2013,Ridge,0.14278067033645056,0.09432874253060639,1.98103456101601,43.666666666666664
2013-2015,2013,XGBoost,0.2960626118165491,0.07197130748819376,1.7926876818350683,43.666666666666664
2014-2016,2014,Random Forest,0.32685402573971634,0.10712226050397876,2.038338786356031,43.666666666666664
2014-2016,2014,Ridge,0.3671246181660381,0.06880592609559079,1.9833161619178565,43.666666666666664
2014-2016,2014,XGBoost,0.19848479354710377,0.029913372871602516,2.2319033328141766,43.666666666666664
2015-2017,2015,Random Forest,0.34323858874423047,0.12993693560441624,1.939070779313935,43.333333333333336
2015-2017,2015,Ridge,0.3049437368818483,0.013045342486793225,2.0085565423777503,43.333333333333336
2015-2017,2015,XGBoost,0.2689375660610492,0.07563469948510497,2.0551088778328324,43.333333333333336
2016-2018,2016,Random Forest,0.14197274894947023,0.10430150554721045,2.0651369043671957,43.0
2016-2018,2016,Ridge,0.013010315198056807,0.2852160738781956,2.1942014528105953,43.0
2016-2018,2016,XGBoost,-0.029532924993856253,0.06435463549838447,2.2662699441214484,43.0
2017-2019,2017,Random Forest,-0.5150849689528595,0.4860326344979493,2.3598820101883557,42.666666666666664
2017-2019,2017,Ridge,-0.8159668386727823,0.9359631639292857,2.533821184626323,42.666666666666664
2017-2019,2017,XGBoost,-0.6932846769188482,0.7986781214280945,2.459190942350421,42.666666666666664
2018-2020,2018,Random Forest,-0.09625827746012809,0.413378682967961,2.292210427796119,42.0
2018-2020,2018,Ridge,-0.1231718858587592,0.5129343148368729,2.30376460456242,42.0
2018-2020,2018,XGBoost,-0.2870811889480745,0.46864761609669064,2.491795106062611,42.0
