window_label,window_start,model,r2_mean,r2_std,rmse_mean,n_test
2006-2008,2006,Random Forest,-0.0648114862613089,0.21276695349876185,0.7850488103460763,42.0
2006-2008,2006,Ridge,-0.004515613314620952,0.2913105813226215,0.7554300361069309,42.0
2006-2008,2006,XGBoost,-0.26175559109909974,0.3612174705569814,0.856287873151986,42.0
2007-2009,2007,Random Forest,-0.2901069947364847,0.288102050228691,0.7912459708714343,42.0
2007-2009,2007,Ridge,-0.22393520332736672,0.40822723829860896,0.7586413296404819,42.0
2007-2009,2007,XGBoost,-0.6337991859591852,0.559596819775867,0.8800800154632505,42.0
2008-2010,2008,Random Forest,0.004164980448900235,0.08161816470773123,0.7488406852005515,42.0
2008-2010,2008,Ridge,0.13091728192676413,0.11087480416610193,0.6944909698060631,42.0
2008-2010,2008,XGBoost,-0.24595829285968382,0.1849519948299398,0.8331744303110534,42.0
2009-2011,2009,Random Forest,0.2460825021437202,0.1838031996185712,0.6475709291910053,42.0
2009-2011,2009,Ridge,0.265289978809488,0.1366901881713092,0.6398517197039783,42.0
2009-2011,2009,XGBoost,0.13460195135379702,0.14868995048202363,0.6969420153224132,42.0
2010-2012,2010,Random Forest,0.0629051735198608,0.2936260225747142,0.8875816021318635,42.0
2010-2012,2010,Ridge,0.05075486194025166,0.21644719193944537,0.894114378029513,42.0
2010-2012,2010,XGBoost,-0.07320207951864192,0.1413466782660162,0.9436041335008406,42.0
2011-2013,2011,Random Forest,0.13767175799207287,0.20961993613225133,0.8671164769927028,42.0
2011-2013,2011,Ridge,0.1409697429595291,0.2579365230041455,0.8681319950731621,42.0
2011-2013,2011,XGBoost,0.05440342247617417,0.23044273687724914,0.9077374084911053,42.0
2012-2014,2012,Random Forest,-0.091683286039464,0.1957285506289921,0.9623108354515745,42.0
2012-2014,2012,Ridge,0.031118947216356108,0.29506778805592887,0.9128042343652272,42.0
2012-2014,2012,XGBoost,-0.16113974191223837,0.12036755719374007,0.9907378870101596,42.0
2013-2015,2013,Random Forest,0.22136481756513118,0.14122234733236488,0.7587017550312648,42.0
2013-2015,2013,Ridge,0.2619585479453486,0.19913285269904032,0.7359213911935124,42.0
2013-2015,2013,XGBoost,0.1111793152875125,0.5403008724720932,0.7872253214847481,42.0
2014-2016,2014,Random Forest,0.26193830370482957,0.2242260564583154,0.7664326740237164,42.0
2014-2016,2014,Ridge,0.19976642488988536,0.19029578962711052,0.8013930496501923,42.0
2014-2016,2014,XGBoost,0.2550907417466208,0.22615629849287833,0.7699534062773111,42.0
2015-2017,2015,Random Forest,0.35742060474199366,0.2280245176670295,0.7033692307060718,42.0
2015-2017,2015,Ridge,0.4237288498072143,0.11742923670711924,0.6758367845622324,42.0
2015-2017,2015,XGBoost,0.2817871443693159,0.28571571314185484,0.74021183131349,42.0
