Dataset,Model,Fixed_Window,Fixed_Window_R2,Window_Avg_R2,Window_R2_SD,Absolute_Deviation
CY-Bench Maize (Europe),Random Forest,2018-2020,-0.096258277460128,0.3284112449712588,0.31771026829438553,0.4246695224313868
CY-Bench Maize (Europe),Ridge,2018-2020,-0.1231718858587592,0.2580810594657928,0.38646275283868026,0.381252945324552
CY-Bench Maize (Europe),XGBoost,2018-2020,-0.2870811889480745,0.2219681473389525,0.35801420091875286,0.509049336287027
CY-Bench Wheat (Europe),Random Forest,2018-2020,0.0721565138077463,0.0643373078986676,0.3518697928938048,0.00781920590907871
CY-Bench Wheat (Europe),Ridge,2018-2020,-0.0270231706880937,0.0346760782874492,0.6058787204079279,0.0616992489755429
CY-Bench Wheat (Europe),XGBoost,2018-2020,-0.0903995952424332,-0.023126685404084628,0.42788086057609875,0.06727290983834858
CY-Bench Maize (Zambia),Random Forest,2015-2017,0.3574206047419936,0.08449463730792506,0.1983888016476277,0.27292596743406855
CY-Bench Maize (Zambia),Ridge,2015-2017,0.4237288498072143,0.12760538188528497,0.17837105382575175,0.29612346792192934
CY-Bench Maize (Zambia),XGBoost,2015-2017,0.2817871443693159,-0.053879231611542844,0.2810538231152599,0.33566637598085874
SustainBench Soybean,Random Forest,2014-2016,-0.3241618154693011,0.10354408605331492,0.24568620704759128,0.427705901522616
SustainBench Soybean,Ridge,2014-2016,-0.3262007698700662,0.06699755669165988,0.23398818664417403,0.39319832656172604
SustainBench Soybean,XGBoost,2014-2016,-0.3348434597787021,0.04434948622101964,0.21582153675316929,0.37919294599972175
