year,rmse,r2,n
2006,0.6699223239077792,0.5736386229481547,40
2007,0.7489694645891493,0.30672008359057057,23
2008,0.8688625371086667,0.2611410078232542,44
2009,0.8271542190667951,0.5034002722884303,50
2010,0.8129159579573737,0.18670580106579793,57
2011,0.9007373643571644,0.014801173980233062,55
2012,0.640412132215567,0.6626422174619482,54
2013,0.6279063410446961,0.5498058148228188,58
2014,0.7783906242769528,0.47189330144749597,53
2015,0.8194625363643919,0.4461695974517005,42
2016,0.8386147878994158,0.46142844862867805,67
2017,1.173164011857109,-0.7968108975971762,48
2018,0.8709676735841414,-0.2672328698368933,70
2019,0.8338232670506385,0.02897154977593619,64
2020,0.9965097690658882,0.5688440425572465,64
