window_label,window_start,model,r2_mean,r2_std,rmse_mean,n_test
2006-2008,2006,Random Forest,0.1537165598963057,0.13205807464928526,1.1150979882367063,23.666666666666668
2006-2008,2006,Ridge,0.41617648777794763,0.10775224330368602,0.9171038404588656,23.666666666666668
2006-2008,2006,XGBoost,0.16603209927059615,0.2596276163000993,1.1071696358035819,23.666666666666668
2007-2009,2007,Random Forest,0.09296447562176764,0.20702784205463903,1.1632554264705517,25.0
2007-2009,2007,Ridge,0.34231016377296636,0.009359800273612419,0.9986461564370966,25.0
2007-2009,2007,XGBoost,-0.07241355129304172,0.388582847738478,1.2523866075019425,25.0
2008-2010,2008,Random Forest,0.19774724041341463,0.29983314533696986,1.0452537544678748,32.0
2008-2010,2008,Ridge,0.13291612803512023,0.17255546265364177,1.1079997654723523,32.0
2008-2010,2008,XGBoost,0.18007854315105232,0.4921174376203622,1.0237518066734126,32.0
2009-2011,2009,Random Forest,0.18160184026298265,0.44717253558436504,1.0717772875566347,34.666666666666664
2009-2011,2009,Ridge,0.16587392061229675,0.15521199603427735,1.1174272896071347,34.666666666666664
2009-2011,2009,XGBoost,0.13732022050199585,0.5051849176814756,1.0918158377979335,34.666666666666664
2010-2012,2010,Random Forest,0.18412741678106673,0.44317202954309776,1.0841858303933138,35.0
2010-2012,2010,Ridge,0.226417506467116,0.14528290527717141,1.0887812205962668,35.0
2010-2012,2010,XGBoost,0.15436443023640437,0.525725523588219,1.092759907622083,35.0
2011-2013,2011,Random Forest,0.17848927028641937,0.4452539926971812,1.0260152739446686,35.333333333333336
2011-2013,2011,Ridge,0.3396963511365276,0.1170037739338161,0.9452720804337948,35.333333333333336
2011-2013,2011,XGBoost,0.07194959052865653,0.47718929513494435,1.0945206276932724,35.333333333333336
2012-2014,2012,Random Forest,0.25307586116527553,0.5199771540085394,1.0601313193155726,33.666666666666664
2012-2014,2012,Ridge,0.32409694067344624,0.1553085213330358,1.045643182895671,33.666666666666664
2012-2014,2012,XGBoost,0.32412765845672226,0.36104201517045076,1.0194155273078076,33.666666666666664
2013-2015,2013,Random Forest,0.2731177358470534,0.555962892042263,1.0110397655497736,32.333333333333336
2013-2015,2013,Ridge,0.36478526452536436,0.28217694766330853,0.9768312315865183,32.333333333333336
2013-2015,2013,XGBoost,0.2661626532206495,0.40654304208127,1.0377740453262891,32.333333333333336
2014-2016,2014,Random Forest,0.2720903534551535,0.474807805880197,1.091997650217012,33.0
2014-2016,2014,Ridge,0.45430989126841453,0.2506130860153323,0.9621632622995797,33.0
2014-2016,2014,XGBoost,0.2443195788394972,0.5080407110090687,1.1111270998991634,33.0
2015-2017,2015,Random Forest,0.17185857885044584,0.40740719214826154,1.059546257580618,33.666666666666664
2015-2017,2015,Ridge,0.08508401137805795,0.21384457859643985,1.1374232827987274,33.666666666666664
2015-2017,2015,XGBoost,0.05503267809504764,0.41007764155963733,1.1384032650487033,33.666666666666664
2016-2018,2016,Random Forest,-0.1453182076160008,0.10837731777499071,1.103564169418238,38.0
2016-2018,2016,Ridge,-0.6175351339892343,0.3189842307366141,1.309693057880476,38.0
2016-2018,2016,XGBoost,-0.45929783151788456,0.24617470189918975,1.2424928329356755,38.0
2017-2019,2017,Random Forest,-1.0492426360889513,0.2899906681865283,1.2822017412565707,37.0
2017-2019,2017,Ridge,-1.7563193432330897,0.7857471070328246,1.4752149270152313,37.0
2017-2019,2017,XGBoost,-1.2779233845003624,0.02262530597407884,1.3537639191736754,37.0
2018-2020,2018,Random Forest,0.0721565138077463,0.058609843948743995,1.1433055375504149,38.666666666666664
2018-2020,2018,Ridge,-0.027023170688093717,0.21240708658797522,1.1896419221274408,38.666666666666664
2018-2020,2018,XGBoost,-0.09039959524243324,0.1047424401429653,1.2372312266667105,38.666666666666664
