window_label,window_start,model,r2_mean,r2_std,rmse_mean,n_test
2010-2012,2010,Random Forest,0.16662156419600424,0.04119100379796365,0.6563310469106193,296.6666666666667
2010-2012,2010,Ridge,0.07354531860337994,0.021282196284703753,0.6926298865823629,296.6666666666667
2010-2012,2010,XGBoost,0.12012019615706752,0.08787151047128317,0.6730604112863267,296.6666666666667
2011-2013,2011,Random Forest,0.19339738854873992,0.008408251367427302,0.6269620606479377,286.3333333333333
2011-2013,2011,Ridge,0.10516381247999618,0.06620616765643887,0.6598621823858207,286.3333333333333
2011-2013,2011,XGBoost,0.1178676970016143,0.06508432123587414,0.6546676433150032,286.3333333333333
2012-2014,2012,Random Forest,0.3069295380896608,0.034084926360394514,0.5849694458755456,280.0
2012-2014,2012,Ridge,0.27423038341651146,0.043550659852531946,0.5981275070385972,280.0
2012-2014,2012,XGBoost,0.2090729484535473,0.01169307830012562,0.6248200566859349,280.0
2013-2015,2013,Random Forest,0.1749337549014708,0.023921681297661933,0.5974862372877833,273.3333333333333
2013-2015,2013,Ridge,0.20824903882847826,0.0620811216368169,0.5851997997240873,273.3333333333333
2013-2015,2013,XGBoost,0.10953004927157121,0.04159447024808747,0.6206940934478867,273.3333333333333
2014-2016,2014,Random Forest,-0.3241618154693011,0.10139450294001712,0.7402221496133364,271.6666666666667
2014-2016,2014,Ridge,-0.32620076987006624,0.07860750175049033,0.7409885948093358,271.6666666666667
2014-2016,2014,XGBoost,-0.33484345977870217,0.0792543858719803,0.7435809498303185,271.6666666666667
